D  Lombardia Girone C classifica  marcatori in base ai punti segnati,
""
n°,Giocatore,Squadra,Ruolo,P.S.,P.G,Media,
1,Ubiali Alessandro (90),Azzanese Basket,G,587,29,"20,24",
2,Vandi Federico (83),U.S.S.A. Nova,P/G,471,24,"19,63",
3,Deligios Emmanuele (90),San Pellegrino Basket,G,466,28,"16,64",
4,Moschini Andrea (78),Basket Bellusco,P,443,30,"14,77",
5,Previtali Paolo (83),San Pellegrino Basket,G,431,29,"14,86",
6,Lanzani Alessandro ,Pol. Varedo A.S.D.A.,A,421,30,"14,03",
7,Oliva Gabriele (92),Masters Carate,,414,28,"14,79",
8,Lodovici Fabio (86),Cral Dalmine,G,408,29,"14,07",
9,Mantelli Davide (94),Team 86 Villasanta,C,396,30,"13,20",
10,Parlato Riccardo (88),Team 86 Villasanta,P/G,395,30,"13,17",
11,Colombo Simone (88),Pol. Varedo A.S.D.A.,A,381,30,"12,70",
12,Passero Davide,C.B.B.A. Brugherio,A,376,28,"13,43",
13,Gritti Mattia (91),Azzanese Basket,G,359,27,"13,30",
14,Kaburi Maurice (82),Forti e Liberi Monza,A/C,358,30,"11,93",
15,Formenti Mattia  (93),Basket Bellusco,A,354,30,"11,80",
16,Galli Fabio (89),Pol. Varedo A.S.D.A.,C,348,28,"12,43",
17,Bertolini Erik (82),C.B.B.A. Brugherio,G,342,24,"14,25",
18,Fracassetti Daniele (86),GR BK Cologno Al Serio,G/A,342,26,"13,15",
19,Trabattoni Filippo (90),Gerardiana Monza,C,337,23,"14,65",
20,Balossi Giorgio  (86),Verdello Basket,G,337,29,"11,62",
21,Fossati Fabrizio (90),Team 86 Villasanta,G,336,28,"12,00",
22,Campana Mattia (86),Forti e Liberi Monza,A,336,28,"12,00",
23,Turco Matteo (91),Verdello Basket,P,335,28,"11,96",
24,Novati Lorenzo (85),U.S.S.A. Nova,P/G,333,26,"12,81",
25,Ndiaye Amadou (76),Cral Dalmine,C,331,29,"11,41",
26,Perego Mauro (82),Forti e Liberi Monza,P/G,330,29,"11,38",
27,Meloni Alessandro (93),U.S. Alfonso Casati Arcore,P,324,27,"12,00",
28,Arosio Luca (86),A.Dil. Basket Biassono,G,320,29,"11,03",
29,Colombo Federico (91),Masters Carate,,319,26,"12,27",
30,Guerrato Massimo (81),U.S.S.A. Nova,A/C,315,28,"11,25",
31,Sala Alberto (92),Team 86 Villasanta,A,303,29,"10,45",
32,Carrara Mattia (91),A.Dil. Basket Biassono,A,300,30,"10,00",
33,Redaelli Raffaele (91),Masters Carate,,298,29,"10,28",
34,Zanchi Fabio (81),San Pellegrino Basket,A,296,29,"10,21",
35,Losi Luca,U.S. Alfonso Casati Arcore,,296,30,"9,87",
36,Panzera Nicola (84),GR BK Cologno Al Serio,C,290,27,"10,74",
37,Novati Marco (81),U.S.S.A. Nova,P/G,289,25,"11,56",
38,Legoratto Michele (81),Verdello Basket,G,289,26,"11,12",
39,Lomuscio Alberto (90),U.S. Alfonso Casati Arcore,P/G,287,28,"10,25",
40,Ricci Simone (84),Team 86 Villasanta,P,280,29,"9,66",
41,Fall Khadim (90),Cral Dalmine,G/A,278,28,"9,93",
42,Tronini Luca (95),Verdello Basket,P,274,30,"9,13",
43,Villa Filippo (92),Masters Carate,,270,29,"9,31",
44,Galbiati Alberto (92),Masters Carate,,265,25,"10,60",
45,Pesavento Marco  (94),Basket Bellusco,P,256,28,"9,14",
46,Catalfamo Ivan (95),Forti e Liberi Monza,P/G,246,26,"9,46",
47,Stefanoni Mauro (79),Verdello Basket,C,240,28,"8,57",
48,Beretta Luigi (85),Forti e Liberi Monza,A/C,239,26,"9,19",
49,Giussani Giacomo (85),Scuola Basket Treviglio,C,238,28,"8,50",
50,Brambilla M.,Gerardiana Monza,,238,29,"8,21",
51,Arsuffi Marco (87),GR BK Cologno Al Serio,A,237,23,"10,30",
52,Brunetti Lorenzo  (95),C.B.B.A. Brugherio,P/G,234,27,"8,67",
53,Chies Davide (91),GR BK Cologno Al Serio,G,233,25,"9,32",
54,Rigo Riccardo (84),Basket Bellusco,C,224,30,"7,47",
55,Francioni Massimiliano (78),Scuola Basket Treviglio,A/C,223,24,"9,29",
56,Toffoli Marco (91),A.Dil. Basket Biassono,PG,221,27,"8,19",
57,Finazzi Andrea (92),GR BK Cologno Al Serio,A,219,22,"9,95",
58,Corna Andrea (95),Cral Dalmine,A,219,27,"8,11",
59,Corna Attilio (82),GR BK Cologno Al Serio,C,218,27,"8,07",
60,Zambelli Matteo (91),San Pellegrino Basket,G,217,30,"7,23",
61,Bonanomi Nicolò,U.S. Alfonso Casati Arcore,,215,23,"9,35",
62,Ghisleni Filippo (81),San Pellegrino Basket,C,214,25,"8,56",
63,Di Valentin Matteo (95),U.S. Alfonso Casati Arcore,,214,29,"7,38",
64,Moretti Denis (92),Pol. Varedo A.S.D.A.,A,213,27,"7,89",
65,Mazzanti Enrico (95),Scuola Basket Treviglio,A,211,17,"12,41",
66,Lonati Andrea (85),U.S.S.A. Nova,A,211,29,"7,28",
67,Gabaldi Mauro (79),Basket Bellusco,A/C,206,29,"7,10",
68,Magni Andrea (92),C.B.B.A. Brugherio,A,205,29,"7,07",
69,Taborelli Lorenzo (85),Cral Dalmine,C,200,21,"9,52",
70,Dorini Matteo (93),Azzanese Basket,P,200,29,"6,90",
71,Mandelli Marco (95),Scuola Basket Treviglio,P/G,198,27,"7,33",
72,Rigon Davide (95),Gerardiana Monza,C,197,26,"7,58",
73,Frassoni Fabio (86),A.Dil. Basket Biassono,G,197,28,"7,04",
74,Gerosa Ottavio (95),Azzanese Basket,A,195,26,"7,50",
75,Locatelli Andrea  (78),Cral Dalmine,G,192,17,"11,29",
76,Verri Paolo (96),Scuola Basket Treviglio,G/A,191,24,"7,96",
77,Colombo A.,Gerardiana Monza,,186,20,"9,30",
78,Daleffe Cristian (84),Verdello Basket,A,186,29,"6,41",
79,Cervato Stefano  (85),A.Dil. Basket Biassono,P,180,30,"6,00",
80,Valassina Andrea (93),Pol. Varedo A.S.D.A.,A,169,27,"6,26",
81,Macchi Jacopo (97),Scuola Basket Treviglio,G,168,22,"7,64",
82,Molteni Simone (87),Masters Carate,,168,30,"5,60",
83,Gamba Davide (86),Scuola Basket Treviglio,P/G,165,25,"6,60",
84,Chiesura Alessandro (92),GR BK Cologno Al Serio,P,165,28,"5,89",
85,Cogliati Lello (83),Forti e Liberi Monza,A,160,17,"9,41",
86,Alajmo Leonardo  (95),Basket Bellusco,A,158,24,"6,58",
87,Banfi Giacomo (94),Basket Bellusco,G,158,28,"5,64",
88,Cortinovis Emilio  (82),Verdello Basket,A,155,23,"6,74",
89,Castelletti Daniele (94),Azzanese Basket,G,153,28,"5,46",
90,Milani Pietro (86),U.S.S.A. Nova,C,147,21,"7,00",
91,Cazzaniga Sergio (88),Forti e Liberi Monza,G,144,22,"6,55",
92,Valota Davide (90),Azzanese Basket,P/G,140,23,"6,09",
93,Levati Marco (93),Gerardiana Monza,P,138,29,"4,76",
94,Pelucchi Tommaso (81),Gerardiana Monza,C,136,19,"7,16",
95,Tassini Nicola (80),Forti e Liberi Monza,G/A,134,26,"5,15",
96,Caglio Federico (94),Pol. Varedo A.S.D.A.,P,132,14,"9,43",
97,Ravasio Stefano  (84),Cral Dalmine,G/A,132,30,"4,40",
98,Turani Stefano (91),San Pellegrino Basket,G,131,26,"5,04",
99,Gregorat,C.B.B.A. Brugherio,,130,8,"16,25",
100,Forneris Andrea (85),A.Dil. Basket Biassono,A,129,25,"5,16",
101,Tosetti Manuel,U.S.S.A. Nova,,127,19,"6,68",
102,Scaramucci Luca (86),Azzanese Basket,A/C,123,25,"4,92",
103,Xausa Alessandro (94),Azzanese Basket,A,122,29,"4,21",
104,Belloni Andrea (89),Cral Dalmine,G,118,20,"5,90",
105,Carmagnola Andrea  (94),C.B.B.A. Brugherio,G,118,27,"4,37",
106,Querzola Michele (95),Team 86 Villasanta,G,116,17,"6,82",
107,Favalessa Fabio (91),Team 86 Villasanta,G,115,29,"3,97",
108,Casati Daniele (94),Team 86 Villasanta,C,115,29,"3,97",
109,Pruni Giorgio (91),Pol. Varedo A.S.D.A.,P,113,24,"4,71",
110,Cappelletti Stefano (85),U.S.S.A. Nova,,112,28,"4,00",
111,Giraldo Marco,A.Dil. Basket Biassono,A/C,111,24,"4,63",
112,Riccardi Luca (90),Gerardiana Monza,A,111,26,"4,27",
113,Manzoni Fabio (96),C.B.B.A. Brugherio,G,110,20,"5,50",
114,Gussoni Edoardo (95),Masters Carate,,110,24,"4,58",
115,Aledjou Moa (97),Pol. Varedo A.S.D.A.,A,105,28,"3,75",
116,Dondè Daniele (90),Gerardiana Monza,P,104,23,"4,52",
117,Andreol Davide (92),GR BK Cologno Al Serio,A,102,21,"4,86",
118,Spaggiari Daniele,A.Dil. Basket Biassono,G/A,102,25,"4,08",
119,Lanza Riccardo (95),Basket Bellusco,A,102,29,"3,52",
120,Rovelli Ambrogio (91),Gerardiana Monza,C,99,19,"5,21",
121,Colombo G.,Gerardiana Monza,,99,28,"3,54",
122,Gomma A.,Basket Bellusco,,97,13,"7,46",
123,Taormina Simone (94),Scuola Basket Treviglio,A/C,97,23,"4,22",
124,Darwish Omar (90),Forti e Liberi Monza,A/C,96,7,"13,71",
125,Galli Alberto (92),Pol. Varedo A.S.D.A.,G,96,27,"3,56",
126,Borlotti Marco (89),Azzanese Basket,G/A,93,18,"5,17",
127,Manelli Giuseppe  (86),Gerardiana Monza,P,90,28,"3,21",
128,Casali Daniele (86),Verdello Basket,A,86,23,"3,74",
129,Trezzi Andrea (81),C.B.B.A. Brugherio,A,84,17,"4,94",
130,Zanchi Matteo (80),San Pellegrino Basket,A,83,22,"3,77",
131,Turatti Federico (92),Pol. Varedo A.S.D.A.,G,82,16,"5,13",
132,Bocca Andrea,C.B.B.A. Brugherio,,73,25,"2,92",
133,Granata Alessandro (94),U.S. Alfonso Casati Arcore,,71,26,"2,73",
134,Rabaglio Matteo (96),Scuola Basket Treviglio,G,70,13,"5,38",
135,Masoli Marco (88),Pol. Varedo A.S.D.A.,C,68,14,"4,86",
136,Cimnaghi Carlo (83),U.S.S.A. Nova,,66,16,"4,13",
137,Pessina Daniele (97),Masters Carate,,66,19,"3,47",
138,Giavarini Anthony (93),Verdello Basket,A,65,21,"3,10",
139,Salvi Matteo (96),Azzanese Basket,G,63,17,"3,71",
140,Favalessa Matteo (99),Team 86 Villasanta,P,63,25,"2,52",
141,Casati Luca (93),A.Dil. Basket Biassono,G,62,9,"6,89",
142,Carota Alessandro (97),U.S.S.A. Nova,A,62,26,"2,38",
143,Beretta Giovanni (95),Scuola Basket Treviglio,G,60,23,"2,61",
144,Lissoni Martino  (93),U.S. Alfonso Casati Arcore,C,59,28,"2,11",
145,Saini Marco (95),Team 86 Villasanta,C,57,26,"2,19",
146,Bonfanti Mirco (95),Cral Dalmine,P,56,29,"1,93",
147,Zanchi Stefano (90),San Pellegrino Basket,C,55,19,"2,89",
148,Santini Simone (94),Cral Dalmine,P,54,27,"2,00",
149,Riboldi Daniele (97),Masters Carate,,53,20,"2,65",
150,Bellazzi Bellazzi (93),San Pellegrino Basket,G,52,8,"6,50",
151,Stucchi Gianbattista (93),Cral Dalmine,A,50,20,"2,50",
152,Luciano Roberto (85),C.B.B.A. Brugherio,A,49,9,"5,44",
153,Rossetti Roberto (86),Azzanese Basket,G/A,49,18,"2,72",
154,Begnini Mauro (79),Verdello Basket,A,48,11,"4,36",
155,Lavizzari Stefano (82),C.B.B.A. Brugherio,P,48,13,"3,69",
156,Stucchi Gabriele (95),Scuola Basket Treviglio,G/A,47,7,"6,71",
157,Pessina,Gerardiana Monza,,47,16,"2,94",
158,Eralti,Gerardiana Monza,,45,13,"3,46",
159,Rrasa Erin (89),GR BK Cologno Al Serio,P,44,8,"5,50",
160,Oggioni Daniele  (87),Basket Bellusco,G,44,10,"4,40",
161,Buschi Mattia (78),Forti e Liberi Monza,P/G,44,22,"2,00",
162,Pozzoni Pietro (95),Basket Bellusco,G,44,23,"1,91",
163,Massironi,C.B.B.A. Brugherio,,43,8,"5,38",
164,Ventruto Daniel (87),U.S.S.A. Nova,C,42,16,"2,63",
165,Olaniè,Masters Carate,,42,19,"2,21",
166,Marcolegio Federico (94),GR BK Cologno Al Serio,G,41,18,"2,28",
167,Panzeri Giorgio (94),A.Dil. Basket Biassono,G,40,8,"5,00",
168,Gangi Piero (87),A.Dil. Basket Biassono,C,40,15,"2,67",
169,Cassanmagnago Daniele (89),Pol. Varedo A.S.D.A.,C,40,16,"2,50",
170,Gerbelli Francesco  (79),Cral Dalmine,P/G,40,19,"2,11",
171,Medolago Claudio (83),Azzanese Basket,G/A,39,4,"9,75",
172,Brambilla,Team 86 Villasanta,,39,11,"3,55",
173,Secchi Luca (78),Scuola Basket Treviglio,P,38,14,"2,71",
174,Brambilla Lorenzo  (89),Basket Bellusco,C,38,15,"2,53",
175,Ruzzon Francesco (95),A.Dil. Basket Biassono,C,38,24,"1,58",
176,Penati Matteo (93),U.S. Alfonso Casati Arcore,G,37,6,"6,17",
177,Zanchi Alberto (79),San Pellegrino Basket,G/A,37,8,"4,63",
178,Conti Gualtiero (88),GR BK Cologno Al Serio,G,36,13,"2,77",
179,Boffi Roberto (83),A.Dil. Basket Biassono,A/C,35,5,"7,00",
180,Pizzo Andrea (94),Gerardiana Monza,G,35,5,"7,00",
181,Ruzzon Federico,Masters Carate,,35,19,"1,84",
182,Di Stefano Giacomo (92),Team 86 Villasanta,A,35,20,"1,75",
183,Rota Graziosi (95),Verdello Basket,A,35,21,"1,67",
184,Verzeroli Marco (94),Verdello Basket,A,34,11,"3,09",
185,Pirovano Riccardo  (96),A.Dil. Basket Biassono,P,34,12,"2,83",
186,Durali Andrea (84),A.Dil. Basket Biassono,A,34,21,"1,62",
187,Facchetti Alessandro (76),GR BK Cologno Al Serio,P,33,3,"11,00",
188,Amati Daniele (78),A.Dil. Basket Biassono,P/G,33,7,"4,71",
189,Bushi,Masters Carate,,33,13,"2,54",
190,Soliveri Gerolamo  (91),Cral Dalmine,G/A,33,14,"2,36",
191,Caspani Davide (95),Forti e Liberi Monza,A,33,23,"1,43",
192,Fossati Marco (95),Masters Carate,,33,26,"1,27",
193,Menorello Manuel (95),U.S.S.A. Nova,G/A,32,23,"1,39",
194,Schmidt Alberto (91),Gerardiana Monza,A,29,11,"2,64",
195,Crippa Alberto (90),Basket Bellusco,P,29,20,"1,45",
196,Cattaneo,U.S. Alfonso Casati Arcore,,28,10,"2,80",
197,Bua Antonino (96),Scuola Basket Treviglio,C,28,16,"1,75",
198,Grioni Cesare (97),Scuola Basket Treviglio,P/G,26,14,"1,86",
199,Cavallotti Luca (86),Forti e Liberi Monza,G,25,22,"1,14",
200,Arcangeli Simone (82),C.B.B.A. Brugherio,C,24,3,"8,00",
201,Spotti Stefano (87),U.S. Alfonso Casati Arcore,A/G,24,6,"4,00",
202,Provera (97),U.S. Alfonso Casati Arcore,,22,18,"1,22",
203,Capelli Michele (97),San Pellegrino Basket,,22,20,"1,10",
204,Daelli Luca (95),U.S. Alfonso Casati Arcore,,22,23,"0,96",
205,Nozza Oscar (83),GR BK Cologno Al Serio,A,20,9,"2,22",
206,Daz Francesco (97),Scuola Basket Treviglio,A/C,20,14,"1,43",
207,Sirtoli Andrea (84),San Pellegrino Basket,G,20,14,"1,43",
208,Pizzo Matteo (90),Gerardiana Monza,G,19,2,"9,50",
209,Negri Alessandro (88),C.B.B.A. Brugherio,G/A,19,3,"6,33",
210,Magnavacca (94),U.S. Alfonso Casati Arcore,,19,10,"1,90",
211,Casati Edoardo (82),Masters Carate,,19,11,"1,73",
212,Sasso Luca (94),San Pellegrino Basket,P,18,14,"1,29",
213,Oprandi,Azzanese Basket,,16,6,"2,67",
214,Spinelli Matteo (83),Masters Carate,,16,8,"2,00",
215,Belotti Andrea (91),Verdello Basket,G,16,11,"1,45",
216,Dassi,Pol. Varedo A.S.D.A.,,15,11,"1,36",
217,Sonzogni Luca (90),Azzanese Basket,G/A,12,7,"1,71",
218,Fumagalli,Pol. Varedo A.S.D.A.,,12,12,"1,00",
219,Tadolti Giovanni (97),Scuola Basket Treviglio,G,12,14,"0,86",
220,Dominoni Davide (94),Azzanese Basket,G,12,15,"0,80",
221,Doneda Dario (96),U.S.S.A. Nova,G,11,5,"2,20",
222,Begnini Marco (96),GR BK Cologno Al Serio,G,11,18,"0,61",
223,De Faveri,U.S.S.A. Nova,,10,3,"3,33",
224,Garlati Alessandro (88),Gerardiana Monza,A,10,4,"2,50",
225,Lorenzi Richard (80),Verdello Basket,A,10,5,"2,00",
226,Giacomella Luciano  (89),C.B.B.A. Brugherio,A,10,6,"1,67",
227,Pezzotta,Verdello Basket,,10,7,"1,43",
228,Consoli Stefano (94),GR BK Cologno Al Serio,G,10,9,"1,11",
229,Sodero,C.B.B.A. Brugherio,,9,5,"1,80",
230,Mariani Patrick (96),U.S.S.A. Nova,A,9,7,"1,29",
231,Penco Matteo (94),San Pellegrino Basket,,9,13,"0,69",
232,Andrei Joan (93),Team 86 Villasanta,A,8,10,"0,80",
233,Facchetti,Verdello Basket,,8,11,"0,73",
234,Giuffrè,Masters Carate,,8,12,"0,67",
235,Arnoldi Michele (94),GR BK Cologno Al Serio,G,8,15,"0,53",
236,Midali Bruno (93),Azzanese Basket,A/C,8,17,"0,47",
237,Cassanmagnago Tommaso (95),U.S. Alfonso Casati Arcore,,8,26,"0,31",
238,Bellina Fabio (77),A.Dil. Basket Biassono,G,7,2,"3,50",
239,Perna Andrea (83),Cral Dalmine,P/G,7,2,"3,50",
240,Vitale,C.B.B.A. Brugherio,,7,3,"2,33",
241,Sabatini Niccolò (95),A.Dil. Basket Biassono,P,7,5,"1,40",
242,Lupini Alessandro (94),Cral Dalmine,A,7,9,"0,78",
243,Confolanieri Omar (96),U.S.S.A. Nova,P,7,11,"0,64",
244,Muratore Jacopo (95),U.S. Alfonso Casati Arcore,,7,14,"0,50",
245,Cupani Andrea (85),Basket Bellusco,G,6,8,"0,75",
246,Ghioni Riccardo  (94),A.Dil. Basket Biassono,P,5,3,"1,67",
247,Fari,U.S.S.A. Nova,,5,4,"1,25",
248,Bertoli Davide (97),San Pellegrino Basket,,5,24,"0,21",
249,Badoni,Scuola Basket Treviglio,,4,1,"4,00",
250,Lazzaretti,Verdello Basket,,4,1,"4,00",
251,Pozzi Davide (96),U.S.S.A. Nova,A,4,2,"2,00",
252,Bassani,Scuola Basket Treviglio,,4,2,"2,00",
253,Marzorati,Pol. Varedo A.S.D.A.,,4,3,"1,33",
254,Popovic Mladen ,Basket Bellusco,G,4,5,"0,80",
255,Rota,Azzanese Basket,,4,8,"0,50",
256,Di Benedetto Francesco (95),Gerardiana Monza,P,4,12,"0,33",
257,Scuratti Axel (96),U.S.S.A. Nova,,4,13,"0,31",
258,Belloli Matteo,GR BK Cologno Al Serio,,3,1,"3,00",
259,Giovannoni,Gerardiana Monza,,3,5,"0,60",
260,Rossi Federico (90),Azzanese Basket,,3,6,"0,50",
261,Erba,Scuola Basket Treviglio,,2,1,"2,00",
262,Piccioli,Scuola Basket Treviglio,,2,1,"2,00",
263,Pagliarino,C.B.B.A. Brugherio,,2,1,"2,00",
264,Passoni,Gerardiana Monza,,2,1,"2,00",
265,Ronchi,Scuola Basket Treviglio,,2,2,"1,00",
266,Poli Daniele (97),Cral Dalmine,P,2,2,"1,00",
267,Scalise,U.S. Alfonso Casati Arcore,,2,3,"0,67",
268,Barzago,C.B.B.A. Brugherio,,2,10,"0,20",
269,Gallizzi Francesco (97),San Pellegrino Basket,,2,11,"0,18",
270,Foresti,Azzanese Basket,,1,2,"0,50",
271,Iacopetta,C.B.B.A. Brugherio,,1,3,"0,33",
272,Loiacono,U.S. Alfonso Casati Arcore,,1,4,"0,25",
273,Giardini Francesco ,GR BK Cologno Al Serio,A,1,4,"0,25",
274,Bertocco Tommaso  (91),C.B.B.A. Brugherio,A,1,4,"0,25",
"D  Lombardia Girone C classifica  marcatori in base alla media punti - partite, primi 20 marcatori",
""
n°,Giocatore,Squadra,Ruolo,P.S.,P.G,Media,
1,Ubiali Alessandro (90),Azzanese Basket,G,587,29,"20,24",
2,Vandi Federico (83),U.S.S.A. Nova,P/G,471,24,"19,63",
3,Deligios Emmanuele (90),San Pellegrino Basket,G,466,28,"16,64",
4,Gregorat,C.B.B.A. Brugherio,,130,8,"16,25",
5,Previtali Paolo (83),San Pellegrino Basket,G,431,29,"14,86",
6,Oliva Gabriele (92),Masters Carate,,414,28,"14,79",
7,Moschini Andrea (78),Basket Bellusco,P,443,30,"14,77",
8,Trabattoni Filippo (90),Gerardiana Monza,C,337,23,"14,65",
9,Bertolini Erik (82),C.B.B.A. Brugherio,G,342,24,"14,25",
10,Lodovici Fabio (86),Cral Dalmine,G,408,29,"14,07",
11,Lanzani Alessandro ,Pol. Varedo A.S.D.A.,A,421,30,"14,03",
12,Darwish Omar (90),Forti e Liberi Monza,A/C,96,7,"13,71",
13,Passero Davide,C.B.B.A. Brugherio,A,376,28,"13,43",
14,Gritti Mattia (91),Azzanese Basket,G,359,27,"13,30",
15,Mantelli Davide (94),Team 86 Villasanta,C,396,30,"13,20",
16,Parlato Riccardo (88),Team 86 Villasanta,P/G,395,30,"13,17",
17,Fracassetti Daniele (86),GR BK Cologno Al Serio,G/A,342,26,"13,15",
18,Novati Lorenzo (85),U.S.S.A. Nova,P/G,333,26,"12,81",
19,Colombo Simone (88),Pol. Varedo A.S.D.A.,A,381,30,"12,70",
20,Galli Fabio (89),Pol. Varedo A.S.D.A.,C,348,28,"12,43",
