SQUADRA,P,P.G.,V,P,P.S.,P.Sub.,D.P.,V Casa,V Fuori,P Casa,P Fuori
Mia Basket Groane,50,30,25,5,2334,1903,431,13,12,2,3
O.S.L. Garbagnate,44,30,22,8,2319,2016,303,10,12,5,3
BK Cassano Magnago,40,30,20,10,2293,2172,121,11,9,4,6
Cistellum Cislago,40,30,20,10,2134,2044,90,9,11,6,4
Virtus Cermenate,40,30,20,10,2193,1974,219,8,12,7,3
Pol. Lierna,38,30,19,11,2053,1939,114,10,9,5,6
BKBall Gallarate,38,30,19,11,2241,2092,149,13,6,2,9
G.S. Casoratese,36,30,18,12,2338,2304,34,9,9,6,6
BK Bosto Varese,36,30,18,12,2193,2120,73,10,8,5,7
Pall. Cerro Maggiore,34,30,17,13,2106,2051,55,7,10,8,5
Basket Rovello,32,30,16,14,2025,2042,-17,9,7,6,8
Sportlandia Tradate,18,30,9,21,2190,2333,-143,5,4,10,11
Pall. Verbano Luino,12,30,6,24,1927,2254,-327,5,1,10,14
Pol. Ardor Bollate,10,30,5,25,1973,2282,-309,3,2,12,13
Olimpia Cadorago,8,30,4,26,1986,2300,-314,3,1,12,14
Basket Seregno,4,30,2,28,1831,2310,-479,1,1,14,14
,,,
