SQUADRA,P,P.G.,V,P,P.S.,P.Sub.,D.P.,V Casa,V Fuori,P Casa,P Fuori
AS Dil. Morbegno,54,30,27,3,2037,1623,414,15,12,0,3
Rhinos Robbiate,46,30,23,7,2079,1854,225,13,10,2,5
Basket Tavernerio,46,30,23,7,1901,1648,253,14,9,1,6
ABC Pall. Lomazzo,44,30,22,8,2007,1751,256,10,12,5,3
Casa Gioventù Erba,44,30,22,8,2076,1785,291,13,9,2,6
Virtus Meda,38,30,19,11,2045,1911,134,11,8,4,7
Centro BK Pescate,34,30,17,13,2090,2035,55,10,7,5,8
Pall. Figino,30,30,15,15,1812,1858,-46,9,6,6,9
Basket Club Tirano,28,30,14,16,2011,2062,-51,10,4,5,11
Sportiva Sondrio,26,30,13,17,1954,2007,-53,7,6,8,9
Giardino LVS Basket Orsenigo,24,30,12,18,1785,1915,-130,7,5,8,10
Pol. Ars Rovagnate,22,30,11,19,1902,2046,-144,5,6,10,9
S.Ambrogio Mariano,18,30,9,21,1710,1927,-217,5,4,10,11
Polisportiva Senna,14,30,7,23,1787,2033,-246,4,3,11,12
Pol. Mandello Lario,6,30,3,27,1824,2154,-330,2,1,13,14
Pall. Como,6,30,3,27,1834,2245,-411,2,1,13,14
 , , , 
