"
SQUADRA
","
P
","
P.G
","
V
","
P
","
P.S
","
P.Sub
","
D.P
","
V.Casa
","
V.Fuori
","
P.Casa
","
P.Fuori
"
"
Pall.
  Orzinuovi
","
50
","
30
","
25
","
5
","
2251
","
1914
","
337
","
14
","
11
","
1
","
4
"
"
Co.Mark
  Bergamo Basket
","
48
","
30
","
24
","
6
","
2279
","
1999
","
280
","
13
","
11
","
2
","
4
"
"
Pallacanestro
  Piacentina
","
44
","
30
","
22
","
8
","
2412
","
2092
","
320
","
12
","
10
","
3
","
5
"
"
Benedetto
  XIV 2011 Cento
","
42
","
30
","
21
","
9
","
2247
","
1977
","
270
","
11
","
10
","
4
","
5
"
"
Raggisolaris
  Faenza
","
38
","
30
","
19
","
11
","
2148
","
2101
","
47
","
12
","
7
","
3
","
8
"
"
Basket
  Lecco
","
38
","
30
","
19
","
11
","
2113
","
1951
","
162
","
12
","
7
","
3
","
8
"
"
Basket 2000
  Reggio Emilia
","
30
","
30
","
15
","
15
","
2111
","
2107
","
4
","
10
","
5
","
5
","
10
"
"
Pallacanestro
  Crema
","
30
","
30
","
15
","
15
","
2044
","
2107
","
-63
","
9
","
6
","
6
","
9
"
"
Virtus
  Basket Padova
","
28
","
30
","
14
","
16
","
2123
","
2120
","
3
","
8
","
6
","
7
","
9
"
"
Auroria
  Desio 94
","
28
","
30
","
14
","
16
","
2139
","
2076
","
63
","
6
","
8
","
9
","
7
"
"
Urania
  Basket Milano
","
24
","
30
","
12
","
18
","
2189
","
2198
","
-9
","
7
","
5
","
8
","
10
"
"
Pall. Alto
  Sebino Costa V.
","
20
","
30
","
10
","
20
","
2186
","
2353
","
-167
","
6
","
4
","
9
","
11
"
"
Pirates
  Accademia Basket
","
18
","
30
","
9
","
21
","
1905
","
2313
","
-408
","
5
","
4
","
10
","
11
"
"
Pallacanestro
  Vicenza 2012
","
18
","
30
","
9
","
21
","
2091
","
2239
","
-148
","
6
","
3
","
9
","
12
"
"
Rucker
  Sanve San Vendemiano
","
14
","
30
","
7
","
23
","
2028
","
2321
","
-293
","
5
","
2
","
10
","
13
"
"
Argomm Iseo
","
10
","
30
","
5
","
25
","
2006
","
2404
","
-398
","
3
","
2
","
12
","
13
"
"
Serie B
  Girone B
"
