SQUADRA,P,P.G,V,P,P.S,P.Sub,D.P,V.Casa,V.Fuori,P.Casa,P.Fuori
Hydrotherm  Busto Arsizio,50,26,25,1,1909,1423,486,13,12,0,1
Or.Ma  Malnate,40,26,20,6,1925,1703,222,11,9,2,4
Virtus  Olona,34,26,17,9,1837,1850,-13,10,7,3,6
CBC  Basketschool Corbetta,30,26,15,11,1672,1606,66,8,7,5,6
Motrix  Cavaria,28,26,14,12,1741,1792,-51,10,4,3,9
Ardens  Sedriano Basket,24,26,12,14,1781,1772,9,7,5,6,8
Pall.  Vergiate Vikings,24,26,12,14,1810,1785,25,7,5,6,8
San  Giuseppe Arese,24,26,12,14,1590,1657,-67,7,5,6,8
Marnatese  Basket,24,26,12,14,1548,1579,-31,8,4,5,9
Libertas  Vanzago,20,26,10,16,1635,1700,-65,6,4,7,9
Montello  1982,18,26,9,17,1528,1676,-148,7,2,6,11
Limax  Clivio,16,26,8,18,1683,1780,-97,4,4,9,9
Campus  Varese,16,26,8,18,1572,1680,-108,7,1,6,12
Pallacanestro Gavirate,16,26,8,18,1546,1774,-228,4,4,9,9
D  Lombardia - Girone D
