SQUADRA,P,P.G,V,P,P.S,P.Sub,D.P,V.Casa,V.Fuori,P.Casa,P.Fuori
Polisportiva  Garegnano,44,26,22,4,1811,1560,251,12,10,1,3
O.SA.L.  Novate,42,26,21,5,1944,1664,280,12,9,1,4
Basket  Brusuglio,36,26,18,8,1698,1578,120,10,8,3,5
Nuova  Argentia Gorgonzola,36,26,18,8,1763,1641,122,10,8,3,5
Pall. Rag.  S. Pio X. Milano,32,26,16,10,1692,1602,90,11,5,2,8
C.B.B.A. Cologno,30,26,15,11,1780,1714,66,8,7,5,6
ASA  Cinisello,26,26,13,13,1809,1816,-7,8,5,5,8
Mojazza  Milano,24,26,12,14,1767,1802,-35,7,5,6,8
Politecnico  Milano,22,26,11,15,1743,1843,-100,5,6,8,7
Basket  Bellusco,22,26,11,15,1603,1614,-11,7,4,6,9
Paderno Dugnano,22,26,11,15,1609,1659,-50,6,5,7,8
Bk Cusano  Milanino,12,26,6,20,1544,1705,-161,2,4,11,9
BC Cavenago  Brianza,12,26,6,20,1541,1732,-191,3,3,10,10
Polisportiva CGB  Brugherio,4,26,2,24,1478,1852,-374,2,0,11,13
D  Lombardia -Â  Girone F
