"
SQUADRA
","
P
","
P.G
","
V
","
P
","
P.S
","
P.Sub
","
D.P
","
V.Casa
","
V.Fuori
","
P.Casa
","
P.Fuori
"
"
Pallacanestro Bernareggio
","
44
","
26
","
22
","
4
","
1836
","
1638
","
198
","
12
","
10
","
1
","
3
"
"
Nuova Pallacanestro Olginate
","
36
","
26
","
18
","
8
","
1798
","
1692
","
106
","
8
","
10
","
5
","
3
"
"
Corona Platina Piadena
","
30
","
26
","
15
","
11
","
1893
","
1767
","
126
","
10
","
5
","
3
","
8
"
"
Virtus Lumezzane
","
30
","
26
","
15
","
11
","
1811
","
1754
","
57
","
8
","
7
","
5
","
6
"
"
Sanse Tedeschi Cremona
","
28
","
26
","
14
","
12
","
1796
","
1761
","
35
","
7
","
7
","
6
","
6
"
"
Mazzoleni BT Pizzighettone
","
26
","
26
","
13
","
13
","
1691
","
1728
","
-37
","
9
","
4
","
4
","
9
"
"
Carpe Diem Calolziocorte
","
26
","
26
","
13
","
13
","
1760
","
1760
","
0
","
6
","
7
","
7
","
6
"
"
Evolut Romano Basket
","
26
","
26
","
13
","
13
","
1780
","
1823
","
-43
","
7
","
6
","
6
","
7
"
"
Pallacanestro
  Gardonese
","
26
","
26
","
13
","
13
","
1843
","
1861
","
-18
","
7
","
6
","
6
","
7
"
"
Ass.
  Pol. Dil. Lierna
","
22
","
26
","
11
","
15
","
1862
","
1824
","
38
","
8
","
3
","
5
","
10
"
"
CSA Agrate Brianza
","
22
","
26
","
11
","
15
","
1788
","
1887
","
-99
","
7
","
4
","
6
","
9
"
"
Pallacanestro Lissone
","
20
","
26
","
10
","
16
","
1662
","
1650
","
12
","
7
","
3
","
6
","
10
"
"
Libertas Cernusco
","
14
","
26
","
7
","
19
","
1686
","
1876
","
-190
","
4
","
3
","
9
","
10
"
"
Manerbio Basket
","
14
","
26
","
7
","
19
","
1722
","
1907
","
-185
","
3
","
4
","
10
","
9
"
"
Lombardia - C Gold Girone B
"
