"
SQUADRA
","
P
","
P.G
","
V
","
P
","
P.S
","
P.Sub
","
D.P
","
V.Casa
","
V.Fuori
","
P.Casa
","
P.Fuori
"
"
Gilbertina
  Soresina
","
46
","
26
","
23
","
3
","
1999
","
1644
","
355
","
12
","
11
","
1
","
2
"
"
Olimpia
  Lumezzane
","
40
","
26
","
20
","
6
","
2014
","
1700
","
314
","
11
","
9
","
2
","
4
"
"
BK
  Casalmaggiore
","
38
","
26
","
19
","
7
","
1952
","
1727
","
225
","
11
","
8
","
2
","
5
"
"
Tazio Magni
  Gussola
","
36
","
26
","
18
","
8
","
1909
","
1757
","
152
","
9
","
9
","
4
","
4
"
"
Basket Ome
  01
","
34
","
26
","
17
","
9
","
1864
","
1642
","
222
","
10
","
7
","
3
","
6
"
"
Ombriano
  Basket
","
34
","
26
","
17
","
9
","
1839
","
1663
","
176
","
11
","
6
","
2
","
7
"
"
Pontevico
  Basket
","
22
","
26
","
11
","
15
","
1683
","
1685
","
-2
","
7
","
4
","
6
","
9
"
"
San Pio X
  Mantova
","
22
","
26
","
11
","
15
","
1677
","
1829
","
-152
","
7
","
4
","
6
","
9
"
"
MGM BK
  Brescia
","
22
","
26
","
11
","
15
","
1698
","
1857
","
-159
","
7
","
4
","
6
","
9
"
"
Vanoli
  Young Cremona
","
18
","
26
","
9
","
17
","
1627
","
1838
","
-211
","
6
","
3
","
7
","
10
"
"
Vespa
  Basket
","
16
","
26
","
8
","
18
","
1854
","
1990
","
-136
","
7
","
1
","
6
","
12
"
"
Padernese
  Basket
","
16
","
26
","
8
","
18
","
1692
","
1925
","
-233
","
5
","
3
","
8
","
10
"
"
Ospitaletto
  Basket
","
14
","
26
","
7
","
19
","
1718
","
1949
","
-231
","
5
","
2
","
8
","
11
"
"
Virtus Desenzano
","
6
","
26
","
3
","
23
","
1707
","
2027
","
-320
","
2
","
1
","
11
","
12
"
"
D
  Lombardia - Girone A
"
