"
SQUADRA
","
P
","
P.G
","
V
","
P
","
P.S
","
P.Sub
","
D.P
","
V.Casa
","
V.Fuori
","
P.Casa
","
P.Fuori
"
"
SBT
  Treviglio
","
42
","
26
","
21
","
5
","
1693
","
1503
","
190
","
13
","
8
","
0
","
5
"
"
Bottanuco
  Basket
","
42
","
26
","
21
","
5
","
1674
","
1478
","
196
","
11
","
10
","
2
","
3
"
"
Cral
  Dalmine
","
42
","
26
","
21
","
5
","
1922
","
1635
","
287
","
12
","
9
","
1
","
4
"
"
F.lli Maggi
  Civatese
","
32
","
26
","
16
","
10
","
1680
","
1624
","
56
","
9
","
7
","
4
","
6
"
"
BK Cologno
  Al Serio
","
30
","
26
","
15
","
11
","
1726
","
1538
","
188
","
8
","
7
","
5
","
6
"
"
Basket
  Vercurago
","
30
","
26
","
15
","
11
","
1542
","
1465
","
77
","
10
","
5
","
3
","
8
"
"
Pol.
  Mandello Al Lario
","
28
","
26
","
14
","
12
","
1533
","
1499
","
34
","
9
","
5
","
4
","
8
"
"
La Torre
  Basket
","
26
","
26
","
13
","
13
","
1730
","
1689
","
41
","
10
","
3
","
3
","
10
"
"
Ars
  Rovagnate
","
20
","
26
","
10
","
16
","
1616
","
1731
","
-115
","
7
","
3
","
6
","
10
"
"
US. S.
  Pellegrino BK
","
20
","
26
","
10
","
16
","
1589
","
1717
","
-128
","
5
","
5
","
8
","
8
"
"
CB Pescate
","
20
","
26
","
10
","
16
","
1563
","
1631
","
-68
","
9
","
1
","
4
","
12
"
"
Nino Ronco
  Ornago
","
14
","
26
","
7
","
19
","
1516
","
1646
","
-130
","
5
","
2
","
8
","
11
"
"
Almennese
  Basket
","
12
","
26
","
6
","
20
","
1539
","
1770
","
-231
","
6
","
0
","
7
","
13
"
"
Basket Mezzago
","
6
","
26
","
3
","
23
","
1420
","
1817
","
-397
","
3
","
0
","
10
","
13
"
"
D
  Lombardia -Â  Girone B
"
