"
SQUADRA
","
P
","
P.G
","
V
","
P
","
P.S
","
P.Sub
","
D.P
","
V.Casa
","
V.Fuori
","
P.Casa
","
P.Fuori
"
"
Fulgor
  Omegna
","
50
","
30
","
25
","
5
","
2235
","
1877
","
358
","
15
","
10
","
0
","
5
"
"
Fiorentina
  Basket Scandicci
","
50
","
30
","
25
","
5
","
2476
","
2146
","
330
","
15
","
10
","
0
","
5
"
"
Urania
  Basket Milano
","
42
","
30
","
21
","
9
","
2343
","
2151
","
192
","
12
","
9
","
3
","
6
"
"
MontecatiniÂ  Basketball
","
40
","
30
","
20
","
10
","
2285
","
2055
","
230
","
12
","
8
","
3
","
7
"
"
Basket
  Golfo Piombino
","
36
","
30
","
18
","
12
","
2197
","
2154
","
43
","
12
","
6
","
3
","
9
"
"
Valsesia
  Basket Borgosesia
","
34
","
30
","
17
","
13
","
2157
","
2038
","
119
","
10
","
7
","
5
","
8
"
"
Basket
  Cecina ASD
","
34
","
30
","
17
","
13
","
2227
","
2291
","
-64
","
11
","
6
","
4
","
9
"
"
Sangiorgese
  S. Giorgio L.
","
32
","
30
","
16
","
14
","
2205
","
2136
","
69
","
10
","
6
","
5
","
9
"
"
US Empolese
  ASD
","
32
","
30
","
16
","
14
","
2204
","
2160
","
44
","
10
","
6
","
5
","
9
"
"
Omnia
  Basket Pavia
","
30
","
30
","
15
","
15
","
2183
","
2145
","
38
","
11
","
4
","
4
","
11
"
"
Etrusca
  Basket S. Miniato
","
28
","
30
","
14
","
16
","
2006
","
2079
","
-73
","
7
","
7
","
8
","
8
"
"
Oleggio
  Magic Basket
","
26
","
30
","
13
","
17
","
2156
","
2177
","
-21
","
7
","
6
","
8
","
9
"
"
Robur Et
  Fides Varese
","
20
","
30
","
10
","
20
","
1975
","
2148
","
-173
","
8
","
2
","
7
","
13
"
"
Olimpo
  Basket Alba
","
16
","
30
","
8
","
22
","
2143
","
2350
","
-207
","
4
","
4
","
11
","
11
"
"
Pall.
  Moncalieri S. Mauro
","
10
","
30
","
5
","
25
","
1934
","
2241
","
-307
","
3
","
2
","
12
","
13
"
"
Lib.
  Liburna Basket Livorno
","
0
","
30
","
0
","
30
","
2061
","
2639
","
-578
","
0
","
0
","
15
","
15
"
"
Serie B
  Girone A
"
