SQUADRA,P,P.G,V,P,P.S,P.Sub,D.P,V.Casa,V.Fuori,P.Casa,P.Fuori
BK Cusano  Milanino,48,26,24,2,1855,1342,513,13,11,0,2
US Dil.  Indipendente,46,26,23,3,1777,1393,384,13,10,0,3
ASD Basket  Brusuglio,40,26,20,6,1886,1490,396,12,8,1,5
Asa  Cinisello Balsamo,38,26,19,7,2057,1646,411,10,9,3,4
GS Bk  Paderno Dugnano,32,26,16,10,1704,1590,114,10,6,3,7
ABC Pall.  Lomazzo,30,26,15,11,1576,1431,145,7,8,6,5
GS  Villaguardia ASD,28,26,14,12,1853,1709,144,7,7,6,6
Pol. Ardor  Bollate,28,26,14,12,1691,1580,111,9,5,4,8
Pallacanestro  Cabiate,22,26,11,15,1657,1744,-87,7,4,6,9
ASD Olimpia Cadorago,18,26,9,17,1644,1718,-74,6,3,7,10
ASD Basket  Tavernerio,16,26,8,18,1584,1687,-103,5,3,8,10
ASD  Playground Team,14,26,7,19,1558,1692,-134,4,3,9,10
AD  Pallacanestro Albavilla,4,26,2,24,1550,2090,-540,1,1,12,12
Giardino  LVS Basket,0,26,0,26,1217,2497,-1280,0,0,13,13
D  Lombardia - Girone E
