"
SQUADRA
","
P
","
P.G
","
V
","
P
","
P.S
","
P.Sub
","
D.P
","
V.Casa
","
V.Fuori
","
P.Casa
","
P.Fuori
"
"
Tecnoadda
  Mandello
","
46
","
26
","
23
","
3
","
1870
","
1466
","
404
","
12
","
11
","
1
","
2
"
"
Edilcasa
  Civatese
","
40
","
26
","
20
","
6
","
1788
","
1558
","
230
","
11
","
9
","
2
","
4
"
"
Medinmove
  Basket Vercurago
","
38
","
26
","
19
","
7
","
1809
","
1555
","
254
","
12
","
7
","
1
","
6
"
"
A. Dil. Sportiva
  Basket
","
34
","
26
","
17
","
9
","
1816
","
1703
","
113
","
10
","
7
","
3
","
6
"
"
SBT
  Treviglio
","
30
","
26
","
15
","
11
","
1628
","
1573
","
55
","
9
","
6
","
4
","
7
"
"
Basket
  Cologno Al Serio
","
30
","
26
","
15
","
11
","
1661
","
1646
","
15
","
9
","
6
","
4
","
7
"
"
Red Cat
  Device La Torre
","
28
","
26
","
14
","
12
","
1826
","
1661
","
165
","
7
","
7
","
6
","
6
"
"
ASD Basket
  Verdello
","
26
","
26
","
13
","
13
","
1721
","
1784
","
-63
","
7
","
6
","
6
","
7
"
"
Pol. ARS
  Rovagnate
","
24
","
26
","
12
","
14
","
1641
","
1757
","
-116
","
6
","
6
","
7
","
7
"
"
ASD Basket
  Nibionno
","
22
","
26
","
11
","
15
","
1694
","
1697
","
-3
","
4
","
7
","
9
","
6
"
"
ASD Basket
  Carnate
","
18
","
26
","
9
","
17
","
1721
","
1867
","
-146
","
6
","
3
","
7
","
10
"
"
Autovittani
  Pescate
","
14
","
26
","
7
","
19
","
1604
","
1751
","
-147
","
3
","
4
","
10
","
9
"
"
Visconti Basket
  Brignano
","
12
","
26
","
6
","
20
","
1564
","
1852
","
-288
","
5
","
1
","
8
","
12
"
"
Zani Viaggi
  S. Pellegrino
","
2
","
26
","
1
","
25
","
1407
","
1880
","
-473
","
0
","
1
","
13
","
12
"
"
D
  Lombardia -Â  Girone F
"
