"
SQUADRA
","
P
","
P.G
","
V
","
P
","
P.S
","
P.Sub
","
D.P
","
V.Casa
","
V.Fuori
","
P.Casa
","
P.Fuori
"
"
Nuova Pall.
  Vigevano 1955
","
48
","
24
","
24
","
0
","
1909
","
1327
","
582
","
12
","
12
","
0
","
0
"
"
7 Laghi
  Gazzada Schianno
","
38
","
24
","
19
","
5
","
1813
","
1594
","
219
","
11
","
8
","
1
","
4
"
"
Robur
  Saronno
","
32
","
24
","
16
","
8
","
1791
","
1661
","
130
","
9
","
7
","
3
","
5
"
"
Basket Team
  Mortara
","
32
","
24
","
16
","
8
","
1797
","
1649
","
148
","
9
","
7
","
3
","
5
"
"
Milano 3
  Basket Basiglio
","
28
","
24
","
14
","
10
","
1795
","
1769
","
26
","
10
","
4
","
2
","
8
"
"
Nervianese
  1919
","
26
","
24
","
13
","
11
","
1779
","
1671
","
108
","
9
","
4
","
3
","
8
"
"
Virtus
  Cermenate
","
26
","
24
","
13
","
11
","
1565
","
1654
","
-89
","
7
","
6
","
5
","
6
"
"
Cistellum
  Cislago
","
18
","
24
","
9
","
15
","
1482
","
1605
","
-123
","
5
","
4
","
7
","
8
"
"
Opera Basket Club
","
18
","
24
","
9
","
15
","
1513
","
1603
","
-90
","
7
","
2
","
5
","
10
"
"
Valceresio Arcisate
","
16
","
24
","
8
","
16
","
1554
","
1749
","
-195
","
6
","
2
","
6
","
10
"
"
Casa
  Gioventù Erba
","
14
","
24
","
7
","
17
","
1475
","
1605
","
-130
","
5
","
2
","
7
","
10
"
"
Basketball
  Gallarate
","
12
","
24
","
6
","
18
","
1690
","
1850
","
-160
","
2
","
4
","
10
","
8
"
"
Pall. Cerro
  Maggiore
","
4
","
24
","
2
","
22
","
1374
","
1800
","
-426
","
1
","
1
","
11
","
11
"
"
Lombardia
  - C Gold Girone B
"
