"
SQUADRA
","
P
","
P.G
","
V
","
P
","
P.S
","
P.Sub
","
D.P
","
V.Casa
","
V.Fuori
","
P.Casa
","
P.Fuori
"
"
Team ABC
  Cantù
","
54
","
30
","
27
","
3
","
2318
","
1894
","
424
","
13
","
14
","
2
","
1
"
"
Hydrotherm
  Busto Arsizio
","
42
","
30
","
21
","
9
","
2232
","
1962
","
270
","
14
","
7
","
1
","
8
"
"
Rovello
  Porro
","
42
","
30
","
21
","
9
","
2119
","
1848
","
271
","
11
","
10
","
4
","
5
"
"
Verbano
  Luino
","
40
","
30
","
20
","
10
","
2064
","
2007
","
57
","
11
","
9
","
4
","
6
"
"
CRAC
  Bionics Buccinasco
","
36
","
30
","
18
","
12
","
2206
","
2033
","
173
","
9
","
9
","
6
","
6
"
"
Groane
  Lentate
","
36
","
30
","
18
","
12
","
2093
","
2015
","
78
","
11
","
7
","
4
","
8
"
"
Aironi
  Pallacanestro Robbio
","
32
","
30
","
16
","
14
","
2151
","
2108
","
43
","
11
","
5
","
4
","
10
"
"
Pallacanestro
  Castronno
","
30
","
30
","
15
","
15
","
2101
","
2053
","
48
","
8
","
7
","
7
","
8
"
"
ASD Phoenix
  Iria Basket
","
30
","
30
","
15
","
15
","
1956
","
2012
","
-56
","
8
","
7
","
7
","
8
"
"
ASD
  Sportiva Boffalorese
","
28
","
30
","
14
","
16
","
2076
","
2117
","
-41
","
8
","
6
","
7
","
9
"
"
Milano 3
  Basiglio
","
26
","
30
","
13
","
17
","
2096
","
2112
","
-16
","
7
","
6
","
8
","
9
"
"
Aba Legnano
","
22
","
30
","
11
","
19
","
1918
","
2018
","
-100
","
6
","
5
","
9
","
10
"
"
GS
  Casoratese
","
20
","
30
","
10
","
20
","
1941
","
2117
","
-176
","
6
","
4
","
9
","
11
"
"
Rams
  Daverio
","
20
","
30
","
10
","
20
","
1894
","
2158
","
-264
","
7
","
3
","
8
","
12
"
"
Cassano
  Magnago
","
14
","
30
","
7
","
23
","
1912
","
2226
","
-314
","
5
","
2
","
10
","
13
"
"
Baskettiamo
  Vittuone
","
8
","
30
","
4
","
26
","
1823
","
2220
","
-397
","
3
","
1
","
12
","
14
"
"
Lombardia
  - C Silver Girone B
"
