"
SQUADRA
","
P
","
P.G
","
V
","
P
","
P.S
","
P.Sub
","
D.P
","
V.Casa
","
V.Fuori
","
P.Casa
","
P.Fuori
"
"
ASD Basket
  Club Arlunese
","
36
","
26
","
18
","
8
","
2043
","
1887
","
156
","
9
","
9
","
4
","
4
"
"
Virtus
  Olona
","
36
","
26
","
18
","
8
","
1986
","
1793
","
193
","
11
","
7
","
2
","
6
"
"
ASD Basket
  Venegono
","
34
","
26
","
17
","
9
","
1983
","
1836
","
147
","
10
","
7
","
3
","
6
"
"
OR.MA
  Basket Malnate
","
32
","
26
","
16
","
10
","
1748
","
1629
","
119
","
11
","
5
","
2
","
8
"
"
AS DIL.
  Campus Varese
","
32
","
26
","
16
","
10
","
1902
","
1835
","
67
","
10
","
6
","
3
","
7
"
"
Sportlandia
  Tradate
","
28
","
26
","
14
","
12
","
1694
","
1752
","
-58
","
9
","
5
","
4
","
8
"
"
Basket
  Legnano 91
","
27
","
26
","
15
","
11
","
1728
","
1701
","
27
","
10
","
5
","
3
","
8
"
"
Motrix
  Cavaria
","
26
","
26
","
13
","
13
","
1880
","
1893
","
-13
","
7
","
6
","
6
","
7
"
"
US
  Marnatese Basket
","
26
","
26
","
13
","
13
","
1768
","
1674
","
94
","
7
","
6
","
6
","
7
"
"
Libertas
  Vanzago
","
24
","
26
","
12
","
14
","
1879
","
1923
","
-44
","
5
","
7
","
8
","
6
"
"
ASD Limax
  Clivio
","
20
","
26
","
10
","
16
","
1731
","
1908
","
-177
","
5
","
5
","
8
","
8
"
"
Junior
  Knights Legnano
","
18
","
26
","
9
","
17
","
1824
","
1882
","
-58
","
5
","
4
","
8
","
9
"
"
La Sportiva
  Gavirate
","
14
","
26
","
7
","
19
","
1595
","
1892
","
-297
","
6
","
1
","
7
","
12
"
"
Pall.
  Vergiate Vikings
","
8
","
26
","
4
","
22
","
1818
","
1974
","
-156
","
1
","
3
","
12
","
10
"
"
D
  Lombardia - Girone A
"
